date,sales,tokyo_temperature,holiday,,temperature_difference_2009_2018,temperature_difference_2019_2021,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,AVERAGE2009-2018,AVERAGE2019-2021
2009/1/1,17.59,10.6,1,,0.521428571,0.033333333,1,10.2,11,9.1,8.3,9.6,10.6,10.4,10.6,10.8,9.4,10.3,11.1,10.3,9.4,10.07857143,10.56666667
2009/1/2,23.83,11.6,1,,1.521428571,1.033333333,2,11.5,9.9,11.2,9.1,10.3,9.8,10.4,12.2,12.1,10.1,11.6,13.3,14,10.5,11.14285714,12.96666667
2009/1/3,22.94,10.7,1,,0.621428571,0.133333333,3,13.7,13.2,12.3,12.5,16.4,14.5,15.5,14.9,13.4,16.9,15.4,16,17.9,16.6,14.94285714,16.43333333
2009/1/4,17.14,11.1,1,,1.021428571,0.533333333,4,20.2,16.6,18.9,18.5,19.2,19.6,19.3,20.3,19.9,22.1,19,18.2,20.6,20.2,19.47142857,19.26666667
2009/1/5,10.32,11.8,0,,1.721428571,1.233333333,5,23.6,23,22.2,23.6,24.1,24.7,26.4,25.2,25.1,24.6,25.3,24,24.1,23.5,24.24285714,24.46666667
2009/1/6,10.75,12.5,0,,2.421428571,1.933333333,6,25.8,27.5,26,24.8,26.5,26.9,26.4,26.3,26.4,26.6,25.8,27.5,27.3,27.6,26.52857143,26.86666667
2009/1/7,10.57,9.1,0,,-0.978571429,-1.466666667,7,29.3,31.6,30.9,30.1,31.4,30.5,30.1,29.7,31.8,32.7,27.5,27.7,30.3,31.7,30.37857143,28.5
2009/1/8,9.17,9.8,0,,-0.278571429,-0.766666667,8,30.1,33.5,31.2,33.1,33.2,31.2,30.5,31.6,30.4,32.5,32.8,34.1,31.6,32,31.98571429,32.83333333
2009/1/9,8.2,6.8,0,,-3.278571429,-3.766666667,9,26.5,29,28.8,29.8,28.8,26.9,26.4,27.7,26.8,26.6,29.4,28.1,26.2,28.8,27.84285714,27.9
2009/1/10,12.31,10.8,1,,0.721428571,0.233333333,10,22.3,21.8,23,23,23,23,22.7,22.6,20.1,23,23.3,21.4,22.7,21.5,22.38571429,22.46666667
2009/1/11,13.75,7.9,1,,-2.178571429,-2.666666667,11,17,17.2,18.3,16.3,17.4,17.4,17.8,15.5,16.6,17.7,17.7,18.6,18.6,19.1,17.51428571,18.3
2009/1/12,12.13,8.4,1,,-1.678571429,-2.166666667,12,12.4,13.7,11.1,11.2,12.1,11,13.4,13.8,11.1,12.1,12.6,12.3,12.5,12.2,12.25,12.46666667
2009/1/13,7.69,10.3,0,,0.221428571,-0.266666667,,,,,,,,,,,,,,,,,
2009/1/14,6.49,9.8,0,,-0.278571429,-0.766666667,,,,,,,,,,,,,,,,,
2009/1/15,5.3,7.6,0,,-2.478571429,-2.966666667,,,,,,,,,,,,,,,,,
2009/1/16,7.62,9,0,,-1.078571429,-1.566666667,,,,,,,,,,,,,,,,,
2009/1/17,13.79,11.6,1,,1.521428571,1.033333333,,,,,,,,,,,,,,,,,
2009/1/18,16.08,8.3,1,,-1.778571429,-2.266666667,,,,,,,,,,,,,,,,,
